time,value
1,101.66
2,122.13
3,96.58
4,104.44
5,97.98
6,111.04
7,123.11
8,106.39
9,106.93
10,117.78
11,135.3
12,134.43
13,122.08
14,133.86
15,129.72
16,110.4
17,142.45
18,129.47
19,138.7
20,147.25
21,129.34
22,138.92
23,128.55
24,140.09
25,147.84
26,154.74
27,157.47
28,159.31
29,157.17
30,167.1
31,148.51
32,153.8
33,164.1
34,170.18
35,153.17
36,174.95
37,168.27
38,164.49
39,165.21
40,182.61
41,165.08
42,184.48
43,178.74
44,172.35
45,187.76
46,179.64
47,170.35
48,183.65
49,182.29
50,190.96
51,199.51
52,195.6
53,187.31
54,200.71
55,203.76
56,199.41
57,194.81
58,209.65
59,209.55
60,214.44
