time,value
1,97.18
2,97.39
3,110.54
4,116.73
5,114.04
6,101.18
7,115.12
8,122.01
9,110.89
10,125.84
11,113.89
12,111.71
13,132.53
14,133.32
15,127.47
16,132.13
17,124.74
18,134.04
19,124.34
20,121.51
21,141.29
22,140.24
23,132.58
24,141.69
25,153.59
26,146.29
27,161.63
28,133.43
29,154.33
30,145.44
31,157.52
32,158.34
33,147.99
34,178.31
35,157.6
36,166.34
37,163.16
38,167.75
39,167.05
40,167.0
41,183.5
42,169.02
43,176.08
44,170.54
45,193.57
46,181.51
47,177.22
48,197.12
49,206.04
50,199.83
51,193.73
52,187.79
53,190.09
54,204.69
55,189.64
56,194.26
57,190.51
58,201.12
59,209.35
60,222.58
