time,value
1,99.74
2,93.36
3,104.82
4,108.74
5,103.89
6,112.35
7,110.98
8,105.79
9,123.49
10,128.66
11,107.92
12,122.66
13,115.86
14,133.09
15,107.02
16,140.39
17,131.13
18,125.0
19,133.23
20,134.04
21,131.86
22,131.73
23,141.35
24,147.43
25,141.71
26,128.26
27,140.0
28,149.19
29,156.17
30,154.29
31,144.02
32,155.67
33,157.9
34,170.21
35,169.84
36,163.89
37,159.93
38,161.24
39,172.65
40,166.08
41,176.96
42,183.62
43,178.83
44,180.26
45,177.97
46,182.0
47,178.78
48,186.78
49,186.36
50,179.49
51,208.91
52,207.34
53,200.55
54,189.0
55,195.13
56,195.97
57,191.77
58,205.9
59,198.56
60,207.26
