time,value
1,104.63
2,89.0
3,109.12
4,105.2
5,104.27
6,120.76
7,113.53
8,118.1
9,106.64
10,135.7
11,122.17
12,119.79
13,111.57
14,120.19
15,121.94
16,138.06
17,142.8
18,139.25
19,137.93
20,139.3
21,116.28
22,140.68
23,138.0
24,148.64
25,150.81
26,155.56
27,142.58
28,137.88
29,144.79
30,156.73
31,153.25
32,162.25
33,161.57
34,148.21
35,167.31
36,153.6
37,167.99
38,175.08
39,168.29
40,159.37
41,167.69
42,174.78
43,179.81
44,188.47
45,168.23
46,193.62
47,180.18
48,189.52
49,179.24
50,188.87
51,188.66
52,197.4
53,206.33
54,212.0
55,190.39
56,192.63
57,213.37
58,215.65
59,207.95
60,208.55
