time,value
1,102.12
2,109.69
3,112.65
4,110.43
5,108.18
6,110.92
7,111.51
8,119.23
9,127.84
10,108.55
11,129.86
12,121.35
13,130.81
14,103.09
15,121.59
16,116.23
17,118.94
18,134.51
19,133.08
20,131.17
21,139.93
22,140.5
23,130.6
24,138.31
25,148.94
26,159.74
27,152.06
28,159.77
29,135.15
30,154.87
31,162.84
32,155.45
33,165.9
34,152.62
35,160.65
36,162.91
37,171.44
38,176.47
39,179.47
40,164.61
41,173.62
42,170.8
43,172.97
44,181.03
45,178.31
46,175.02
47,174.42
48,179.61
49,194.75
50,194.26
51,201.6
52,190.27
53,191.59
54,185.97
55,203.18
56,213.0
57,200.14
58,199.57
59,206.0
60,210.62
