time,value
1,106.83
2,98.73
3,102.52
4,111.67
5,107.64
6,109.05
7,117.28
8,114.27
9,112.19
10,118.28
11,119.03
12,118.7
13,120.06
14,129.49
15,140.9
16,121.33
17,135.12
18,127.36
19,138.02
20,125.89
21,132.92
22,129.2
23,136.84
24,139.25
25,153.14
26,132.78
27,140.94
28,152.19
29,151.56
30,153.57
31,166.05
32,170.28
33,163.63
34,163.45
35,157.44
36,166.88
37,169.29
38,164.4
39,161.67
40,174.16
41,173.33
42,174.25
43,174.29
44,181.91
45,171.37
46,191.93
47,192.42
48,189.99
49,187.79
50,178.89
51,196.3
52,194.79
53,189.0
54,187.18
55,209.85
56,207.28
57,197.4
58,194.38
59,196.05
60,210.25
