time,value
1,99.32
2,111.16
3,115.36
4,112.84
5,113.9
6,124.04
7,118.88
8,107.27
9,116.36
10,113.97
11,112.62
12,128.16
13,111.13
14,139.34
15,125.56
16,142.07
17,128.31
18,136.36
19,125.87
20,129.59
21,131.35
22,143.19
23,139.06
24,153.6
25,146.64
26,153.4
27,146.26
28,139.72
29,143.8
30,157.86
31,147.58
32,141.56
33,160.03
34,171.37
35,179.25
36,169.57
37,176.59
38,164.8
39,171.78
40,158.99
41,177.93
42,172.73
43,182.73
44,174.21
45,184.06
46,176.78
47,194.25
48,179.35
49,209.48
50,195.98
51,191.29
52,210.13
53,193.37
54,193.13
55,202.04
56,205.28
57,210.64
58,211.94
59,214.51
60,196.82
