time,value
1,103.37
2,110.97
3,118.01
4,88.14
5,105.67
6,105.81
7,102.45
8,104.81
9,112.95
10,108.21
11,119.24
12,123.92
13,131.23
14,117.26
15,126.05
16,118.05
17,137.01
18,125.01
19,152.63
20,131.07
21,145.88
22,146.6
23,117.3
24,129.06
25,155.83
26,134.0
27,130.8
28,148.27
29,146.61
30,167.85
31,142.02
32,151.38
33,166.15
34,163.03
35,168.63
36,167.48
37,167.09
38,168.16
39,161.26
40,160.31
41,180.65
42,175.57
43,179.67
44,169.83
45,171.53
46,186.36
47,196.53
48,184.15
49,191.89
50,191.74
51,183.32
52,196.2
53,188.18
54,216.49
55,217.17
56,196.24
57,198.54
58,196.67
59,205.67
60,229.26
