time,value
1,102.17
2,126.59
3,110.63
4,89.6
5,102.43
6,104.5
7,113.54
8,98.32
9,115.04
10,116.49
11,117.35
12,116.94
13,127.31
14,111.99
15,122.81
16,116.25
17,135.84
18,134.9
19,141.25
20,137.57
21,133.06
22,128.57
23,143.17
24,131.72
25,133.72
26,146.51
27,154.67
28,151.5
29,152.25
30,161.31
31,151.23
32,164.54
33,157.05
34,159.68
35,164.57
36,174.9
37,158.1
38,154.97
39,162.89
40,173.78
41,176.42
42,188.1
43,186.96
44,186.79
45,189.15
46,186.97
47,200.39
48,195.59
49,185.08
50,172.52
51,193.54
52,210.17
53,186.8
54,195.13
55,197.5
56,200.01
57,202.71
58,200.93
59,213.92
60,216.26
