time,value
1,99.34
2,106.91
3,102.4
4,104.39
5,105.9
6,118.17
7,108.53
8,123.05
9,126.34
10,115.91
11,126.17
12,106.13
13,130.46
14,109.21
15,122.3
16,130.73
17,130.07
18,134.62
19,131.07
20,120.93
21,138.46
22,154.67
23,137.97
24,144.58
25,128.19
26,141.52
27,149.66
28,143.69
29,150.73
30,153.8
31,146.9
32,170.48
33,150.21
34,160.52
35,170.32
36,171.6
37,169.39
38,175.29
39,160.73
40,160.55
41,166.06
42,169.81
43,177.0
44,169.93
45,192.48
46,176.95
47,190.5
48,179.68
49,193.68
50,174.78
51,176.76
52,192.12
53,191.56
54,199.04
55,195.51
56,191.91
57,200.41
58,190.59
59,207.39
60,214.1
