time,value
1,96.62
2,108.9
3,113.19
4,113.95
5,110.89
6,99.35
7,99.06
8,109.15
9,114.12
10,118.16
11,129.2
12,133.3
13,102.28
14,114.54
15,116.47
16,122.22
17,135.37
18,121.17
19,123.16
20,130.69
21,140.49
22,131.18
23,133.13
24,140.38
25,152.24
26,162.61
27,138.96
28,152.12
29,149.15
30,192.34
31,150.15
32,136.7
33,166.83
34,171.54
35,176.8
36,169.26
37,178.65
38,171.66
39,167.85
40,157.67
41,173.3
42,170.88
43,184.41
44,191.86
45,184.31
46,167.77
47,165.14
48,177.96
49,189.22
50,189.96
51,183.94
52,198.5
53,191.11
54,183.16
55,208.11
56,201.51
57,208.28
58,208.53
59,205.52
60,223.8
