time,value
1,89.25
2,96.69
3,91.1
4,99.67
5,105.07
6,107.66
7,108.64
8,99.81
9,123.36
10,116.24
11,123.13
12,120.13
13,134.69
14,115.21
15,128.04
16,134.77
17,135.05
18,133.86
19,124.54
20,127.08
21,149.13
22,137.62
23,138.95
24,147.62
25,142.94
26,155.25
27,153.28
28,161.99
29,153.7
30,151.35
31,166.64
32,169.38
33,163.13
34,156.95
35,173.67
36,158.84
37,184.7
38,183.31
39,166.8
40,176.9
41,171.31
42,168.43
43,159.93
44,183.46
45,194.66
46,178.26
47,195.92
48,193.03
49,177.66
50,195.67
51,193.88
52,193.38
53,202.53
54,193.63
55,192.18
56,190.97
57,200.6
58,202.98
59,203.09
60,193.16
