time,value
1,110.01
2,105.63
3,106.49
4,106.77
5,116.2
6,105.9
7,107.56
8,118.35
9,123.24
10,130.87
11,131.0
12,118.16
13,123.12
14,133.82
15,121.27
16,123.94
17,130.89
18,139.35
19,139.03
20,135.39
21,130.39
22,138.06
23,146.84
24,148.15
25,129.92
26,139.8
27,157.71
28,159.71
29,152.49
30,160.3
31,154.27
32,154.99
33,154.49
34,167.59
35,154.57
36,174.22
37,172.87
38,158.23
39,180.02
40,159.43
41,169.58
42,173.03
43,177.33
44,171.74
45,189.88
46,191.76
47,197.59
48,183.83
49,180.36
50,184.84
51,192.1
52,200.95
53,175.91
54,202.37
55,212.11
56,197.52
57,192.22
58,207.17
59,206.95
60,207.22
