time,value
1,106.9
2,100.26
3,107.97
4,108.31
5,108.81
6,118.69
7,107.8
8,122.18
9,105.83
10,117.3
11,106.16
12,119.19
13,114.42
14,127.9
15,127.53
16,142.53
17,126.64
18,134.35
19,129.54
20,134.48
21,133.84
22,141.41
23,137.34
24,140.18
25,147.76
26,151.2
27,164.68
28,150.37
29,161.53
30,162.65
31,146.57
32,168.36
33,162.3
34,155.38
35,151.19
36,159.72
37,155.76
38,159.73
39,177.85
40,163.28
41,168.66
42,177.85
43,178.81
44,174.37
45,185.87
46,177.14
47,195.94
48,178.29
49,170.54
50,185.48
51,192.39
52,185.92
53,192.0
54,205.28
55,210.85
56,191.48
57,195.18
58,197.8
59,202.49
60,207.32
