time,value
1,92.78
2,108.83
3,100.75
4,97.63
5,116.01
6,118.16
7,109.76
8,109.38
9,115.3
10,124.5
11,130.39
12,124.91
13,117.99
14,137.03
15,132.33
16,116.26
17,136.21
18,128.93
19,138.68
20,142.58
21,145.93
22,144.01
23,137.9
24,153.91
25,142.32
26,140.16
27,148.39
28,149.57
29,166.77
30,158.36
31,142.22
32,162.46
33,167.45
34,158.9
35,156.08
36,159.54
37,173.64
38,178.98
39,177.24
40,165.44
41,171.86
42,157.34
43,185.39
44,186.55
45,180.93
46,180.14
47,186.46
48,181.98
49,196.16
50,187.88
51,184.16
52,195.96
53,205.17
54,209.25
55,211.42
56,202.36
57,207.16
58,207.89
59,194.46
60,208.26
