time,value
1,88.87
2,93.71
3,117.47
4,103.79
5,104.26
6,113.16
7,118.14
8,117.4
9,117.79
10,128.64
11,115.82
12,126.03
13,127.13
14,110.79
15,113.62
16,119.74
17,138.41
18,121.68
19,138.93
20,134.18
21,133.78
22,145.89
23,140.28
24,148.03
25,142.84
26,160.69
27,146.29
28,142.77
29,145.88
30,147.31
31,161.44
32,165.74
33,167.75
34,160.48
35,160.21
36,167.79
37,170.98
38,170.77
39,173.68
40,178.29
41,177.32
42,169.68
43,170.62
44,180.57
45,185.9
46,187.05
47,201.28
48,189.58
49,173.8
50,194.75
51,176.21
52,197.43
53,200.53
54,200.4
55,194.02
56,214.14
57,203.62
58,196.81
59,211.41
60,209.66
