time,value
1,86.72
2,107.36
3,112.95
4,111.67
5,109.98
6,97.21
7,117.89
8,111.21
9,124.51
10,121.06
11,119.16
12,110.2
13,142.87
14,134.7
15,120.49
16,130.71
17,139.8
18,127.89
19,140.81
20,129.69
21,141.76
22,144.75
23,137.24
24,135.98
25,131.66
26,152.58
27,154.02
28,159.89
29,154.82
30,154.47
31,153.44
32,145.46
33,168.35
34,168.83
35,144.97
36,180.15
37,162.96
38,169.21
39,176.89
40,179.63
41,181.09
42,172.99
43,186.47
44,187.1
45,177.51
46,183.36
47,192.48
48,187.09
49,194.65
50,192.7
51,182.31
52,191.33
53,206.93
54,183.42
55,201.45
56,206.91
57,196.53
58,201.6
59,205.29
60,207.74
