time,value
1,94.75
2,120.32
3,119.2
4,114.18
5,114.72
6,120.78
7,102.55
8,108.02
9,103.42
10,117.54
11,120.35
12,117.93
13,130.99
14,130.09
15,133.93
16,138.09
17,133.6
18,128.28
19,135.2
20,141.46
21,143.6
22,142.61
23,138.24
24,134.61
25,142.58
26,143.62
27,151.56
28,144.98
29,156.93
30,156.18
31,151.76
32,155.27
33,158.77
34,164.77
35,153.01
36,169.96
37,157.43
38,167.06
39,179.94
40,184.2
41,171.34
42,183.59
43,180.92
44,186.56
45,174.99
46,187.88
47,194.35
48,201.52
49,190.21
50,181.94
51,190.44
52,177.69
53,188.35
54,199.84
55,207.11
56,200.93
57,209.07
58,202.63
59,210.43
60,207.72
