time,value
1,99.97
2,97.63
3,97.85
4,108.27
5,108.49
6,107.11
7,111.13
8,122.58
9,110.53
10,116.36
11,129.17
12,120.3
13,125.81
14,127.72
15,117.74
16,128.91
17,133.67
18,121.82
19,134.94
20,138.5
21,137.64
22,144.04
23,149.03
24,132.31
25,140.71
26,162.23
27,144.9
28,141.81
29,149.2
30,162.07
31,153.09
32,141.32
33,156.1
34,153.15
35,169.64
36,168.11
37,154.68
38,159.3
39,165.58
40,162.27
41,183.79
42,185.24
43,178.15
44,175.22
45,169.33
46,201.15
47,181.59
48,191.48
49,187.43
50,183.72
51,189.97
52,199.82
53,191.36
54,194.62
55,192.82
56,199.28
57,219.25
58,214.21
59,226.59
60,205.94
