time,value
1,100.44
2,107.86
3,112.87
4,107.91
5,111.69
6,114.39
7,120.07
8,114.02
9,108.23
10,122.81
11,106.13
12,120.02
13,122.43
14,124.39
15,119.55
16,131.14
17,133.66
18,135.06
19,129.4
20,123.15
21,136.07
22,134.1
23,145.14
24,129.03
25,138.31
26,157.62
27,171.28
28,153.87
29,154.27
30,157.83
31,151.38
32,141.81
33,168.77
34,151.18
35,153.49
36,161.1
37,160.01
38,172.1
39,177.41
40,182.93
41,184.37
42,164.37
43,164.82
44,180.07
45,169.74
46,184.01
47,187.73
48,162.46
49,183.15
50,189.38
51,194.03
52,192.12
53,192.71
54,192.28
55,202.45
56,201.06
57,204.95
58,205.35
59,201.7
60,205.97
