time,value
1,102.59
2,97.51
3,108.8
4,115.95
5,108.36
6,102.08
7,114.91
8,114.22
9,109.41
10,115.46
11,124.95
12,125.44
13,105.0
14,132.46
15,137.4
16,123.73
17,139.43
18,139.54
19,134.09
20,130.63
21,146.65
22,140.84
23,147.18
24,151.03
25,148.02
26,141.33
27,152.03
28,150.54
29,149.56
30,143.87
31,158.49
32,153.96
33,150.23
34,161.07
35,153.43
36,175.76
37,169.1
38,170.42
39,174.91
40,177.09
41,163.55
42,177.13
43,172.17
44,187.76
45,181.34
46,180.14
47,194.57
48,176.86
49,193.27
50,187.6
51,185.82
52,193.06
53,196.98
54,200.89
55,200.07
56,208.48
57,192.31
58,202.86
59,207.74
60,216.43
