time,value
1,113.88
2,99.69
3,105.11
4,98.68
5,117.94
6,112.83
7,113.07
8,117.69
9,106.56
10,128.91
11,116.76
12,129.02
13,133.49
14,131.3
15,126.8
16,135.19
17,134.33
18,121.91
19,123.26
20,145.17
21,153.56
22,142.19
23,132.77
24,141.71
25,148.49
26,148.0
27,152.48
28,153.05
29,147.09
30,153.41
31,149.67
32,152.33
33,162.85
34,149.29
35,166.59
36,166.81
37,154.11
38,177.76
39,169.74
40,179.73
41,159.37
42,181.51
43,168.11
44,171.05
45,183.88
46,180.29
47,169.81
48,193.06
49,182.76
50,176.7
51,194.37
52,187.59
53,194.83
54,213.79
55,199.62
56,213.97
57,207.37
58,213.74
59,208.68
60,206.22
