time,value
1,91.09
2,111.82
3,123.94
4,121.06
5,110.35
6,102.53
7,120.36
8,111.05
9,122.94
10,111.7
11,112.2
12,117.22
13,110.75
14,137.42
15,121.94
16,130.32
17,125.38
18,149.02
19,138.97
20,134.29
21,129.54
22,149.79
23,139.54
24,131.49
25,156.78
26,145.62
27,149.41
28,164.61
29,152.31
30,150.51
31,156.24
32,165.7
33,164.26
34,159.31
35,166.02
36,163.93
37,162.8
38,172.0
39,173.01
40,168.24
41,177.28
42,172.68
43,173.0
44,180.8
45,189.17
46,178.8
47,186.94
48,191.7
49,186.21
50,188.28
51,206.1
52,176.89
53,195.74
54,199.86
55,199.03
56,202.17
57,199.08
58,205.32
59,192.45
60,220.1
