time,value
1,100.66
2,108.23
3,107.69
4,98.12
5,102.26
6,107.24
7,104.91
8,109.15
9,118.7
10,101.14
11,119.58
12,107.99
13,123.82
14,119.14
15,131.63
16,132.45
17,139.99
18,133.87
19,135.47
20,121.83
21,135.35
22,140.59
23,145.77
24,148.97
25,142.0
26,144.38
27,136.07
28,145.09
29,140.27
30,153.63
31,154.43
32,173.2
33,171.92
34,152.56
35,171.53
36,156.4
37,153.12
38,160.92
39,160.18
40,179.35
41,164.0
42,157.36
43,170.64
44,183.98
45,181.77
46,184.55
47,180.64
48,188.37
49,190.3
50,183.4
51,197.69
52,193.43
53,203.03
54,200.2
55,201.64
56,197.27
57,201.87
58,197.78
59,199.06
60,207.02
