time,value
1,86.31
2,110.26
3,106.49
4,96.58
5,116.37
6,116.7
7,105.36
8,111.21
9,106.33
10,116.23
11,122.15
12,130.7
13,124.1
14,127.52
15,124.69
16,128.18
17,123.67
18,135.27
19,139.71
20,122.99
21,139.29
22,147.4
23,136.77
24,143.94
25,147.1
26,156.45
27,151.17
28,159.6
29,147.67
30,152.33
31,154.89
32,175.42
33,162.05
34,163.7
35,164.41
36,164.74
37,171.77
38,172.62
39,174.82
40,169.08
41,182.67
42,169.91
43,174.33
44,183.43
45,179.83
46,175.89
47,183.92
48,184.2
49,182.1
50,182.95
51,185.61
52,189.01
53,210.19
54,192.36
55,192.01
56,190.78
57,207.88
58,205.38
59,205.88
60,194.09
