time,value
1,112.74
2,114.77
3,107.61
4,111.2
5,111.03
6,111.33
7,110.87
8,117.91
9,125.41
10,121.1
11,113.2
12,128.3
13,117.48
14,121.19
15,110.59
16,127.71
17,124.35
18,129.41
19,137.81
20,148.77
21,145.27
22,126.9
23,132.29
24,132.44
25,136.52
26,158.84
27,138.32
28,148.22
29,145.34
30,156.22
31,154.18
32,150.27
33,154.86
34,163.35
35,169.67
36,180.32
37,176.04
38,160.16
39,163.99
40,170.0
41,177.86
42,177.18
43,182.47
44,176.67
45,179.63
46,180.22
47,192.52
48,197.02
49,177.39
50,186.43
51,193.01
52,169.71
53,196.27
54,209.09
55,203.43
56,198.22
57,190.57
58,212.43
59,197.31
60,208.34
