time,value
1,106.92
2,94.04
3,115.31
4,91.07
5,106.54
6,99.56
7,115.73
8,112.83
9,113.94
10,122.47
11,133.17
12,124.46
13,118.57
14,122.97
15,124.73
16,126.2
17,138.19
18,135.72
19,121.58
20,142.38
21,138.17
22,137.75
23,145.43
24,152.54
25,154.79
26,140.58
27,152.37
28,142.68
29,151.14
30,159.67
31,169.45
32,148.55
33,162.12
34,162.03
35,168.13
36,169.35
37,174.94
38,157.99
39,171.55
40,178.75
41,167.62
42,161.44
43,186.4
44,178.33
45,184.16
46,186.09
47,185.96
48,186.12
49,195.86
50,194.59
51,198.23
52,197.18
53,187.09
54,191.64
55,185.53
56,208.55
57,199.21
58,204.25
59,214.1
60,208.19
