time,value
1,94.73
2,94.26
3,102.91
4,106.89
5,117.34
6,113.69
7,102.53
8,114.85
9,136.43
10,128.45
11,130.45
12,126.51
13,124.12
14,120.8
15,127.22
16,143.09
17,121.27
18,131.18
19,147.33
20,143.21
21,138.88
22,130.42
23,139.01
24,148.93
25,139.77
26,144.05
27,139.37
28,136.88
29,166.77
30,155.36
31,154.44
32,143.67
33,164.06
34,159.92
35,148.29
36,160.35
37,172.71
38,162.17
39,175.05
40,166.7
41,174.27
42,181.17
43,180.77
44,180.04
45,181.47
46,177.13
47,184.54
48,203.37
49,191.36
50,188.66
51,185.03
52,192.83
53,198.69
54,207.17
55,186.97
56,203.67
57,207.5
58,210.03
59,208.52
60,220.45
