time,value
1,107.16
2,99.9
3,115.26
4,119.9
5,99.4
6,117.06
7,109.04
8,97.26
9,109.06
10,116.0
11,125.51
12,121.9
13,127.34
14,130.57
15,121.98
16,125.09
17,139.34
18,128.98
19,132.85
20,134.24
21,145.05
22,135.45
23,146.82
24,151.48
25,151.71
26,138.44
27,157.35
28,154.49
29,159.46
30,142.95
31,143.2
32,146.71
33,157.08
34,162.78
35,158.87
36,161.7
37,167.78
38,174.83
39,163.88
40,165.02
41,156.16
42,169.77
43,163.69
44,176.94
45,168.08
46,182.22
47,203.84
48,187.71
49,189.88
50,201.92
51,191.63
52,199.54
53,195.53
54,198.04
55,189.69
56,206.9
57,201.17
58,189.91
59,203.85
60,198.91
