time,value
1,92.09
2,104.73
3,95.18
4,119.58
5,104.24
6,110.08
7,123.63
8,101.7
9,115.14
10,112.99
11,127.19
12,117.82
13,135.45
14,133.13
15,114.5
16,140.31
17,132.02
18,132.73
19,136.2
20,130.82
21,147.79
22,139.22
23,146.76
24,135.29
25,151.52
26,163.06
27,144.99
28,143.63
29,135.19
30,161.84
31,164.77
32,161.91
33,158.8
34,163.96
35,157.68
36,156.75
37,159.24
38,181.49
39,153.66
40,169.04
41,181.12
42,171.14
43,204.91
44,163.63
45,175.95
46,194.25
47,172.02
48,178.55
49,197.26
50,183.81
51,188.79
52,192.2
53,196.46
54,207.14
55,207.37
56,216.88
57,205.28
58,211.56
59,207.54
60,204.48
