time,value
1,94.27
2,91.38
3,112.42
4,104.83
5,99.08
6,112.41
7,108.26
8,114.77
9,112.58
10,123.94
11,130.17
12,119.85
13,133.68
14,128.5
15,111.96
16,138.6
17,121.69
18,135.61
19,129.89
20,139.26
21,137.89
22,137.58
23,142.88
24,140.76
25,145.56
26,153.11
27,142.17
28,147.47
29,136.82
30,150.0
31,152.88
32,150.2
33,169.29
34,158.03
35,152.03
36,161.66
37,170.17
38,182.11
39,173.8
40,180.96
41,165.87
42,179.1
43,174.4
44,171.08
45,187.52
46,170.37
47,167.0
48,198.29
49,191.18
50,204.31
51,202.14
52,184.23
53,208.95
54,182.92
55,206.03
56,213.91
57,202.18
58,206.47
59,211.29
60,215.25
