time,value
1,110.37
2,95.25
3,109.36
4,115.27
5,102.8
6,117.27
7,116.76
8,126.05
9,120.28
10,122.85
11,120.76
12,121.16
13,139.64
14,121.76
15,134.82
16,135.32
17,132.42
18,136.17
19,136.85
20,141.1
21,138.47
22,139.72
23,138.37
24,128.85
25,129.94
26,153.23
27,153.57
28,150.89
29,157.33
30,144.47
31,169.67
32,146.16
33,174.69
34,164.99
35,168.08
36,169.15
37,167.55
38,168.05
39,167.03
40,163.6
41,173.49
42,167.9
43,171.17
44,185.31
45,177.17
46,180.67
47,191.83
48,187.81
49,188.56
50,195.49
51,196.38
52,195.85
53,171.26
54,185.64
55,202.6
56,191.76
57,192.79
58,206.26
59,206.81
60,213.74
