time,value
1,88.44
2,120.13
3,88.99
4,108.45
5,104.65
6,103.79
7,117.47
8,101.53
9,111.95
10,105.25
11,119.97
12,132.45
13,123.19
14,126.65
15,142.57
16,129.59
17,140.7
18,131.54
19,142.94
20,142.74
21,135.16
22,146.93
23,141.87
24,143.09
25,155.64
26,152.22
27,135.19
28,148.83
29,165.24
30,158.68
31,156.36
32,161.36
33,164.1
34,173.3
35,157.93
36,175.75
37,171.28
38,161.86
39,164.95
40,171.11
41,160.52
42,168.81
43,174.78
44,176.37
45,180.25
46,178.85
47,181.03
48,189.1
49,175.08
50,186.27
51,197.4
52,195.47
53,202.11
54,205.88
55,210.88
56,200.23
57,206.55
58,213.39
59,205.66
60,193.52
