time,value
1,87.66
2,95.62
3,98.65
4,112.22
5,112.89
6,101.2
7,121.95
8,129.19
9,113.73
10,111.22
11,110.91
12,114.67
13,113.82
14,112.72
15,129.45
16,132.06
17,139.59
18,127.6
19,129.8
20,128.83
21,133.1
22,146.05
23,128.01
24,139.79
25,142.17
26,153.18
27,149.39
28,157.89
29,153.25
30,155.76
31,150.23
32,161.87
33,163.85
34,168.15
35,157.42
36,169.11
37,162.44
38,171.2
39,165.71
40,170.38
41,176.16
42,159.18
43,177.69
44,187.51
45,170.11
46,174.3
47,184.6
48,177.73
49,202.63
50,189.22
51,188.31
52,188.85
53,184.92
54,196.31
55,204.11
56,193.08
57,225.06
58,198.95
59,214.15
60,223.87
