time,value
1,100.57
2,106.23
3,103.9
4,96.13
5,96.75
6,109.07
7,107.95
8,117.19
9,127.14
10,123.33
11,128.92
12,115.23
13,128.87
14,119.1
15,133.42
16,121.69
17,140.79
18,142.33
19,135.5
20,146.27
21,140.65
22,137.1
23,141.86
24,142.65
25,142.34
26,137.65
27,159.27
28,143.65
29,173.47
30,158.62
31,160.58
32,160.35
33,176.04
34,154.95
35,163.41
36,168.35
37,186.79
38,160.56
39,177.49
40,181.11
41,186.78
42,184.36
43,184.79
44,168.07
45,174.74
46,187.41
47,192.44
48,192.75
49,190.93
50,196.86
51,193.71
52,203.06
53,216.19
54,216.16
55,204.62
56,202.18
57,203.64
58,216.21
59,205.69
60,207.89
