time,value
1,104.81
2,106.01
3,106.93
4,114.78
5,113.29
6,111.23
7,95.63
8,127.02
9,117.12
10,106.78
11,122.71
12,129.28
13,119.98
14,118.69
15,116.96
16,119.77
17,139.1
18,120.69
19,134.07
20,138.88
21,139.22
22,152.87
23,131.23
24,155.15
25,139.7
26,134.57
27,144.73
28,141.4
29,145.46
30,147.92
31,178.96
32,157.66
33,170.56
34,152.13
35,173.85
36,157.13
37,157.29
38,171.55
39,171.44
40,176.92
41,168.05
42,165.49
43,185.08
44,167.15
45,190.23
46,179.99
47,176.69
48,198.17
49,177.21
50,187.73
51,183.72
52,191.41
53,195.45
54,174.66
55,207.95
56,193.38
57,196.63
58,216.33
59,214.08
60,218.0
