time,value
1,93.42
2,115.71
3,118.85
4,97.34
5,103.09
6,104.42
7,118.59
8,107.55
9,112.61
10,132.85
11,125.86
12,126.52
13,105.62
14,114.61
15,125.58
16,131.3
17,132.26
18,138.08
19,138.87
20,145.23
21,127.47
22,140.65
23,140.03
24,143.35
25,146.81
26,125.94
27,145.14
28,148.97
29,153.82
30,150.09
31,161.97
32,174.48
33,163.38
34,163.82
35,163.22
36,158.06
37,167.92
38,166.62
39,175.57
40,175.21
41,171.98
42,175.83
43,180.89
44,180.99
45,176.49
46,173.01
47,179.13
48,185.05
49,192.65
50,188.9
51,173.43
52,192.37
53,190.74
54,193.4
55,194.52
56,198.92
57,194.12
58,200.49
59,208.64
60,212.31
