time,value
1,90.38
2,104.32
3,105.53
4,100.95
5,121.68
6,112.86
7,115.19
8,115.99
9,114.15
10,117.72
11,128.91
12,130.68
13,128.05
14,112.73
15,121.58
16,122.43
17,125.36
18,132.24
19,137.9
20,135.48
21,152.62
22,137.76
23,125.78
24,153.64
25,141.11
26,141.87
27,147.64
28,158.6
29,160.39
30,150.58
31,154.57
32,161.54
33,159.13
34,157.47
35,161.52
36,158.5
37,173.44
38,159.0
39,172.96
40,169.59
41,186.71
42,184.89
43,180.46
44,180.86
45,172.05
46,198.45
47,189.56
48,185.69
49,197.7
50,184.16
51,196.75
52,201.94
53,193.43
54,196.95
55,189.58
56,200.44
57,206.15
58,201.6
59,186.61
60,215.67
