time,value
1,108.23
2,99.63
3,92.18
4,112.4
5,115.09
6,99.56
7,105.28
8,109.57
9,112.8
10,117.54
11,129.11
12,123.77
13,126.87
14,125.67
15,135.93
16,124.81
17,137.95
18,130.77
19,138.28
20,124.73
21,145.67
22,130.88
23,154.02
24,138.71
25,152.8
26,153.4
27,145.63
28,159.61
29,147.09
30,131.03
31,149.96
32,173.65
33,164.12
34,169.11
35,175.63
36,147.36
37,165.74
38,158.14
39,162.3
40,176.83
41,162.2
42,173.65
43,180.02
44,173.43
45,196.61
46,182.71
47,194.19
48,181.88
49,172.77
50,189.57
51,206.32
52,188.49
53,185.23
54,210.27
55,202.72
56,206.89
57,196.68
58,203.85
59,215.2
60,192.68
