time,value
1,107.73
2,97.6
3,90.86
4,101.55
5,107.06
6,130.12
7,133.42
8,109.85
9,118.72
10,130.17
11,120.53
12,119.04
13,110.94
14,132.85
15,123.82
16,117.02
17,138.83
18,137.15
19,133.77
20,135.87
21,129.45
22,133.62
23,160.65
24,160.76
25,152.52
26,140.36
27,148.49
28,152.57
29,158.32
30,151.06
31,161.42
32,157.26
33,173.85
34,158.49
35,163.9
36,151.56
37,177.48
38,161.84
39,185.97
40,169.23
41,187.84
42,191.96
43,174.98
44,176.92
45,183.36
46,180.71
47,188.41
48,174.13
49,199.26
50,180.16
51,193.57
52,191.61
53,202.41
54,197.6
55,194.56
56,199.45
57,196.21
58,206.01
59,197.11
60,210.86
