time,value
1,93.22
2,100.97
3,113.36
4,108.96
5,104.2
6,119.89
7,116.65
8,106.7
9,117.2
10,112.18
11,121.65
12,110.68
13,126.38
14,119.96
15,110.5
16,134.43
17,130.49
18,141.29
19,129.73
20,129.21
21,139.89
22,153.01
23,150.77
24,142.22
25,148.37
26,148.26
27,149.87
28,152.82
29,156.19
30,154.27
31,140.94
32,149.2
33,157.23
34,163.89
35,159.55
36,164.88
37,162.07
38,182.57
39,163.43
40,164.43
41,164.92
42,173.83
43,176.89
44,175.92
45,178.94
46,185.94
47,197.3
48,190.13
49,187.83
50,203.02
51,184.86
52,190.42
53,189.4
54,192.2
55,211.38
56,197.24
57,202.59
58,206.44
59,208.28
60,207.26
