time,value
1,97.03
2,107.1
3,97.15
4,100.65
5,116.25
6,113.07
7,107.33
8,124.38
9,116.77
10,126.75
11,136.55
12,112.08
13,129.81
14,123.7
15,135.84
16,124.59
17,123.14
18,118.8
19,127.82
20,128.08
21,137.08
22,142.57
23,141.42
24,152.95
25,140.93
26,153.93
27,163.11
28,142.08
29,143.36
30,139.91
31,151.37
32,156.74
33,162.92
34,159.49
35,158.56
36,172.94
37,172.05
38,169.03
39,170.56
40,178.95
41,155.61
42,171.39
43,177.41
44,172.84
45,179.12
46,176.84
47,177.24
48,178.58
49,186.53
50,195.76
51,192.57
52,189.56
53,186.7
54,202.42
55,195.63
56,214.85
57,209.01
58,205.6
59,196.38
60,211.7
