time,value
1,103.2
2,90.7
3,94.14
4,111.43
5,116.26
6,93.96
7,126.92
8,108.21
9,122.06
10,126.32
11,112.77
12,115.46
13,119.1
14,135.31
15,115.86
16,128.27
17,135.86
18,126.09
19,136.26
20,126.77
21,139.12
22,147.22
23,129.92
24,137.28
25,144.89
26,156.32
27,153.65
28,148.24
29,153.96
30,164.29
31,157.89
32,153.33
33,158.05
34,171.01
35,166.62
36,154.97
37,175.34
38,166.93
39,164.45
40,175.45
41,167.13
42,155.97
43,172.37
44,192.41
45,176.82
46,188.06
47,178.05
48,168.34
49,183.71
50,189.24
51,190.08
52,194.75
53,203.79
54,198.32
55,209.12
56,215.62
57,194.89
58,203.73
59,197.55
60,208.45
