time,value
1,98.83
2,105.15
3,105.35
4,109.77
5,99.87
6,127.52
7,101.19
8,131.06
9,111.7
10,126.16
11,122.52
12,130.3
13,121.28
14,123.46
15,139.12
16,132.93
17,124.25
18,135.39
19,125.92
20,125.19
21,141.64
22,123.88
23,132.79
24,155.93
25,128.96
26,145.34
27,134.05
28,148.85
29,146.91
30,161.0
31,154.89
32,159.84
33,163.79
34,152.56
35,160.86
36,151.07
37,170.69
38,179.26
39,169.79
40,181.05
41,169.22
42,172.85
43,176.18
44,174.07
45,176.62
46,183.49
47,189.67
48,186.32
49,182.32
50,188.47
51,197.18
52,200.3
53,184.17
54,205.97
55,190.61
56,211.71
57,195.59
58,197.05
59,217.58
60,206.64
