time,value
1,96.6
2,103.82
3,103.27
4,110.31
5,91.46
6,108.22
7,110.31
8,110.15
9,121.96
10,104.24
11,108.56
12,120.04
13,129.13
14,130.69
15,127.22
16,126.49
17,138.02
18,140.76
19,133.55
20,140.18
21,140.59
22,146.61
23,157.12
24,143.49
25,144.11
26,151.23
27,149.11
28,149.68
29,156.13
30,162.53
31,157.61
32,172.42
33,153.22
34,155.71
35,162.39
36,168.96
37,175.42
38,161.8
39,166.04
40,159.64
41,184.44
42,178.43
43,180.57
44,187.02
45,171.02
46,177.98
47,192.7
48,177.1
49,204.61
50,189.95
51,190.96
52,191.76
53,187.08
54,202.58
55,217.54
56,191.67
57,194.45
58,185.83
59,206.42
60,215.5
