time,value
1,81.93
2,103.18
3,108.33
4,116.26
5,118.26
6,119.97
7,130.02
8,111.79
9,94.41
10,119.95
11,128.08
12,126.1
13,131.91
14,120.01
15,126.93
16,133.28
17,136.71
18,137.35
19,137.14
20,148.78
21,147.81
22,140.78
23,148.41
24,140.97
25,140.15
26,136.64
27,150.65
28,154.94
29,150.46
30,137.95
31,170.6
32,147.28
33,161.47
34,158.5
35,166.85
36,154.57
37,168.5
38,175.42
39,166.62
40,184.26
41,177.27
42,183.53
43,169.22
44,185.1
45,181.42
46,192.57
47,182.99
48,176.19
49,198.25
50,175.19
51,185.34
52,202.0
53,191.5
54,197.13
55,199.67
56,192.0
57,208.51
58,207.01
59,191.2
60,213.08
