time,value
1,106.34
2,99.35
3,120.36
4,107.44
5,106.47
6,100.55
7,129.49
8,101.63
9,124.57
10,106.31
11,114.64
12,117.29
13,119.04
14,126.39
15,127.49
16,123.17
17,152.3
18,126.96
19,141.08
20,135.69
21,134.67
22,138.43
23,142.08
24,147.2
25,150.93
26,141.47
27,148.96
28,145.84
29,158.03
30,149.22
31,157.56
32,162.23
33,157.72
34,163.03
35,160.14
36,167.93
37,161.54
38,174.61
39,169.01
40,163.03
41,171.14
42,162.8
43,174.33
44,177.76
45,174.55
46,179.23
47,184.4
48,189.04
49,207.7
50,187.67
51,183.77
52,190.55
53,200.79
54,193.15
55,202.2
56,204.94
57,195.52
58,192.46
59,213.44
60,199.99
