time,value
1,109.4
2,113.26
3,103.02
4,113.21
5,122.17
6,99.24
7,106.67
8,116.96
9,126.32
10,114.41
11,111.62
12,128.13
13,144.81
14,117.29
15,120.49
16,127.42
17,145.54
18,128.97
19,134.47
20,141.61
21,141.44
22,141.54
23,155.82
24,142.97
25,150.56
26,144.39
27,137.75
28,158.28
29,129.55
30,153.49
31,163.63
32,173.97
33,171.59
34,162.94
35,170.6
36,164.86
37,162.86
38,165.9
39,162.39
40,182.79
41,172.58
42,171.01
43,186.41
44,168.73
45,174.01
46,180.92
47,192.93
48,169.57
49,185.56
50,189.22
51,194.78
52,206.92
53,198.08
54,199.55
55,192.67
56,193.99
57,204.15
58,209.27
59,217.55
60,210.45
