time,value
1,107.26
2,107.89
3,114.3
4,106.89
5,122.66
6,100.6
7,103.38
8,121.02
9,110.93
10,116.47
11,121.68
12,123.7
13,130.7
14,114.63
15,124.21
16,121.65
17,121.42
18,134.94
19,132.36
20,127.1
21,136.4
22,125.42
23,135.92
24,149.58
25,144.49
26,137.69
27,142.47
28,160.27
29,165.57
30,163.89
31,166.24
32,161.94
33,156.21
34,166.48
35,171.46
36,172.64
37,165.35
38,166.08
39,184.17
40,172.67
41,168.75
42,182.01
43,182.86
44,178.35
45,186.49
46,193.06
47,192.21
48,187.64
49,187.25
50,191.9
51,201.31
52,215.0
53,204.18
54,189.59
55,205.64
56,202.11
57,210.77
58,207.72
59,204.82
60,216.08
