time,value
1,113.56
2,92.39
3,101.37
4,106.77
5,104.75
6,108.14
7,95.93
8,120.32
9,121.7
10,121.21
11,106.58
12,119.79
13,135.93
14,118.64
15,133.73
16,118.19
17,135.13
18,123.09
19,129.49
20,137.76
21,152.12
22,123.64
23,138.98
24,150.3
25,148.75
26,146.12
27,144.48
28,144.0
29,154.07
30,133.61
31,163.87
32,163.19
33,146.22
34,150.57
35,139.44
36,176.86
37,180.48
38,155.18
39,183.77
40,156.67
41,167.2
42,172.85
43,180.24
44,162.56
45,184.93
46,187.12
47,185.83
48,183.97
49,195.69
50,199.66
51,201.66
52,194.2
53,193.94
54,190.99
55,193.98
56,205.15
57,209.06
58,217.2
59,210.01
60,210.52
