time,value
1,97.04
2,105.92
3,105.09
4,118.36
5,110.04
6,96.69
7,104.59
8,129.96
9,116.02
10,118.71
11,110.34
12,128.05
13,117.6
14,116.09
15,123.24
16,120.33
17,122.09
18,141.84
19,140.76
20,125.06
21,129.34
22,127.23
23,152.01
24,135.34
25,150.13
26,145.17
27,148.32
28,148.49
29,147.15
30,152.81
31,162.53
32,154.8
33,141.54
34,162.76
35,155.02
36,174.99
37,171.95
38,180.64
39,179.88
40,165.66
41,158.23
42,164.53
43,175.36
44,189.84
45,177.64
46,182.57
47,176.27
48,197.36
49,207.12
50,188.8
51,201.12
52,193.91
53,193.11
54,200.79
55,192.28
56,194.12
57,214.66
58,199.35
59,216.0
60,191.04
