time,value
1,103.44
2,101.11
3,108.18
4,113.62
5,108.54
6,100.1
7,108.09
8,115.32
9,108.68
10,129.89
11,128.16
12,129.14
13,118.01
14,118.07
15,124.55
16,130.89
17,128.06
18,132.07
19,143.49
20,129.58
21,139.67
22,148.94
23,137.78
24,134.91
25,154.65
26,146.63
27,158.12
28,160.79
29,156.4
30,156.85
31,158.01
32,151.05
33,155.51
34,161.92
35,161.2
36,165.76
37,159.73
38,172.92
39,163.23
40,171.24
41,172.88
42,182.68
43,166.78
44,167.9
45,184.55
46,181.41
47,190.59
48,187.33
49,189.06
50,198.31
51,183.86
52,198.53
53,196.53
54,206.65
55,196.14
56,198.34
57,199.08
58,207.18
59,212.35
60,206.58
