time,value
1,105.66
2,98.37
3,106.67
4,110.05
5,115.33
6,120.97
7,107.51
8,108.45
9,121.49
10,125.97
11,115.99
12,125.93
13,112.03
14,123.37
15,128.28
16,133.07
17,141.51
18,136.03
19,130.55
20,119.51
21,134.6
22,143.75
23,141.08
24,141.58
25,149.28
26,145.07
27,161.52
28,144.78
29,151.74
30,163.58
31,149.02
32,166.13
33,166.91
34,173.3
35,158.82
36,161.16
37,161.84
38,163.49
39,165.53
40,179.24
41,168.41
42,167.61
43,172.17
44,171.34
45,184.57
46,191.05
47,178.46
48,195.26
49,182.72
50,190.78
51,208.42
52,206.56
53,195.61
54,187.8
55,211.93
56,198.5
57,212.9
58,206.5
59,222.7
60,209.53
