time,value
1,99.25
2,94.86
3,101.83
4,120.14
5,102.68
6,102.08
7,106.04
8,94.65
9,118.18
10,102.65
11,123.08
12,124.86
13,113.85
14,116.28
15,131.08
16,143.15
17,121.03
18,128.03
19,133.95
20,133.95
21,143.33
22,128.06
23,137.52
24,134.65
25,142.48
26,133.1
27,136.7
28,147.29
29,155.02
30,136.4
31,149.61
32,171.06
33,146.69
34,154.53
35,159.95
36,165.21
37,167.54
38,172.21
39,174.01
40,170.92
41,170.22
42,178.62
43,165.64
44,166.11
45,178.52
46,180.97
47,176.8
48,183.68
49,187.15
50,190.34
51,179.65
52,182.52
53,182.04
54,201.61
55,195.77
56,212.57
57,214.9
58,202.53
59,220.92
60,213.15
