time,value
1,102.66
2,100.92
3,108.14
4,110.37
5,114.38
6,120.38
7,112.55
8,118.39
9,103.71
10,103.89
11,120.92
12,112.48
13,136.24
14,120.63
15,134.09
16,125.11
17,126.08
18,131.01
19,129.03
20,140.64
21,133.73
22,151.33
23,138.5
24,150.13
25,143.77
26,146.32
27,142.28
28,150.55
29,139.36
30,164.38
31,168.86
32,160.56
33,152.2
34,171.47
35,162.88
36,170.78
37,157.93
38,173.56
39,175.96
40,170.24
41,178.45
42,166.49
43,193.25
44,173.33
45,182.68
46,191.43
47,181.92
48,191.26
49,194.78
50,195.65
51,179.1
52,210.77
53,192.78
54,199.5
55,203.29
56,189.97
57,201.48
58,202.04
59,209.25
60,196.84
