time,value
1,102.83
2,100.4
3,115.8
4,104.46
5,108.16
6,117.71
7,111.27
8,109.92
9,122.35
10,105.8
11,122.81
12,124.44
13,122.54
14,122.19
15,129.63
16,138.14
17,130.43
18,119.38
19,139.79
20,131.92
21,137.24
22,149.98
23,135.48
24,151.07
25,154.1
26,145.08
27,154.98
28,143.28
29,136.27
30,151.79
31,154.51
32,161.54
33,164.0
34,161.69
35,161.68
36,172.27
37,164.7
38,162.05
39,173.88
40,172.08
41,181.47
42,149.96
43,168.01
44,191.45
45,175.14
46,191.98
47,176.53
48,183.96
49,185.47
50,190.12
51,191.43
52,209.6
53,191.53
54,196.68
55,200.55
56,198.27
57,215.67
58,207.42
59,192.95
60,204.82
