time,value
1,118.98
2,101.04
3,113.67
4,123.19
5,98.66
6,113.04
7,123.48
8,115.51
9,106.59
10,122.45
11,112.07
12,104.11
13,135.46
14,118.59
15,133.39
16,130.83
17,130.13
18,138.63
19,126.06
20,145.19
21,137.32
22,139.85
23,139.41
24,127.79
25,142.03
26,152.23
27,163.96
28,163.7
29,158.54
30,151.43
31,153.9
32,155.35
33,152.64
34,152.38
35,164.67
36,159.65
37,153.84
38,162.98
39,173.62
40,181.61
41,183.51
42,186.55
43,179.63
44,185.58
45,171.9
46,179.71
47,180.0
48,162.02
49,198.56
50,194.85
51,192.35
52,181.04
53,197.03
54,190.1
55,189.1
56,192.9
57,205.53
58,202.96
59,201.82
60,202.03
