time,value
1,108.13
2,109.94
3,97.19
4,115.31
5,110.06
6,128.91
7,103.77
8,114.28
9,111.2
10,118.93
11,121.39
12,132.64
13,128.65
14,124.87
15,132.61
16,122.15
17,130.89
18,134.22
19,128.13
20,133.79
21,139.11
22,135.29
23,129.89
24,145.39
25,146.16
26,140.14
27,138.29
28,149.55
29,150.84
30,152.1
31,138.44
32,137.38
33,153.6
34,163.16
35,169.49
36,165.16
37,164.03
38,168.88
39,180.3
40,165.28
41,176.37
42,187.35
43,174.67
44,191.94
45,182.92
46,184.17
47,184.58
48,187.84
49,179.19
50,201.81
51,186.8
52,189.45
53,188.86
54,192.83
55,190.33
56,212.9
57,197.87
58,210.31
59,202.92
60,207.12
