time,value
1,93.26
2,103.84
3,95.21
4,104.28
5,108.36
6,107.84
7,114.55
8,130.99
9,122.32
10,109.29
11,105.87
12,122.0
13,122.19
14,133.78
15,133.36
16,126.98
17,126.96
18,140.94
19,130.08
20,119.86
21,130.18
22,123.57
23,144.79
24,134.01
25,157.71
26,149.18
27,138.37
28,138.24
29,157.76
30,142.44
31,150.46
32,174.62
33,151.86
34,161.05
35,160.3
36,156.52
37,174.13
38,175.65
39,164.66
40,177.6
41,177.13
42,186.99
43,188.8
44,174.31
45,190.77
46,176.41
47,183.8
48,195.36
49,181.08
50,178.43
51,194.62
52,198.28
53,191.85
54,187.76
55,193.99
56,191.86
57,211.95
58,199.74
59,213.41
60,204.58
