time,value
1,93.46
2,103.49
3,105.36
4,110.03
5,114.07
6,114.54
7,105.83
8,111.85
9,114.58
10,112.55
11,122.84
12,112.89
13,132.26
14,127.86
15,119.85
16,145.78
17,133.6
18,144.61
19,132.18
20,129.69
21,138.06
22,136.95
23,142.77
24,150.76
25,145.19
26,155.14
27,137.72
28,156.51
29,146.82
30,145.0
31,168.74
32,159.13
33,151.35
34,144.96
35,165.81
36,181.87
37,165.55
38,165.88
39,171.53
40,168.68
41,163.71
42,187.17
43,175.83
44,186.44
45,177.05
46,177.08
47,176.89
48,200.75
49,179.33
50,192.16
51,183.21
52,180.62
53,189.04
54,195.68
55,199.22
56,191.86
57,201.43
58,202.04
59,200.5
60,209.38
