time,value
1,105.83
2,99.98
3,99.65
4,88.44
5,113.59
6,89.53
7,108.11
8,115.77
9,125.65
10,105.65
11,130.79
12,139.34
13,119.91
14,114.57
15,124.72
16,131.05
17,127.97
18,139.2
19,136.68
20,146.97
21,148.47
22,132.17
23,126.98
24,146.78
25,152.06
26,144.33
27,146.89
28,158.89
29,143.81
30,136.58
31,157.9
32,158.38
33,156.62
34,158.16
35,161.05
36,161.72
37,153.89
38,158.88
39,168.24
40,157.13
41,176.91
42,165.46
43,167.0
44,186.82
45,192.81
46,171.41
47,177.01
48,188.59
49,199.67
50,191.9
51,192.47
52,213.17
53,188.03
54,202.26
55,200.63
56,201.86
57,202.68
58,215.36
59,201.7
60,198.62
