time,value
1,116.11
2,107.12
3,116.24
4,99.89
5,100.5
6,102.65
7,113.61
8,109.45
9,104.19
10,130.38
11,115.96
12,115.37
13,136.27
14,102.04
15,121.43
16,119.87
17,127.71
18,142.73
19,141.12
20,134.41
21,141.03
22,123.92
23,138.07
24,136.32
25,147.47
26,150.38
27,155.66
28,145.32
29,134.06
30,151.96
31,148.11
32,153.08
33,164.59
34,148.15
35,179.27
36,154.93
37,162.3
38,162.55
39,176.04
40,171.08
41,159.78
42,179.45
43,178.53
44,185.72
45,190.79
46,194.01
47,184.05
48,188.75
49,187.84
50,180.05
51,194.18
52,186.47
53,190.14
54,191.55
55,190.74
56,205.47
57,205.31
58,211.87
59,204.84
60,217.07
