time,value
1,90.94
2,100.38
3,102.6
4,108.69
5,105.52
6,122.92
7,107.37
8,118.34
9,128.52
10,111.68
11,122.78
12,128.23
13,119.36
14,121.15
15,130.81
16,135.81
17,139.78
18,128.36
19,128.63
20,119.26
21,128.96
22,150.24
23,133.18
24,146.0
25,133.8
26,149.11
27,148.79
28,137.85
29,141.67
30,160.16
31,150.63
32,153.69
33,150.62
34,166.91
35,158.96
36,185.37
37,164.56
38,167.85
39,181.81
40,183.87
41,161.75
42,175.64
43,184.96
44,183.9
45,187.48
46,178.3
47,200.79
48,190.2
49,180.25
50,187.22
51,200.87
52,188.85
53,201.51
54,215.52
55,211.53
56,200.93
57,208.11
58,219.45
59,201.59
60,196.61
