time,value
1,102.22
2,113.04
3,106.53
4,115.53
5,117.48
6,109.78
7,106.19
8,116.27
9,112.5
10,110.64
11,114.53
12,124.05
13,123.86
14,126.05
15,135.69
16,128.77
17,139.81
18,145.43
19,129.19
20,125.75
21,128.74
22,129.67
23,150.46
24,135.18
25,145.41
26,157.04
27,139.36
28,154.13
29,141.36
30,143.68
31,164.22
32,146.73
33,159.57
34,170.23
35,157.11
36,170.13
37,180.58
38,174.3
39,177.54
40,188.76
41,167.84
42,180.27
43,172.93
44,187.89
45,175.21
46,184.76
47,188.12
48,195.97
49,199.2
50,194.41
51,185.16
52,184.87
53,192.2
54,203.02
55,203.26
56,203.78
57,212.84
58,196.55
59,215.16
60,208.76
